"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.278524,25.65379,1,2550,4132,7
"2",1,-80.294222,25.678691,1,5538,1612,3
"3",1,-80.2999773,25.6564456,1,2032,296,1
"4",1,-80.305847,25.6586469,1,2541,2928,5
"5",1,-80.311628,25.6503729,1,1569,3438,6
"6",1,-80.320038,25.693767,1,1064,720,2
"7",1,-80.327085,25.640966,1,3598,2311,4
"8",1,-80.330155,25.656219,1,5694,5110,8
"9",2,-80.2995557,25.7277521,1,2083,3448,7
"10",2,-80.292057,25.707339,1,1325,4544,9
"11",2,-80.288939,25.684713,1,811,812,2
"12",2,-80.298113,25.693516,1,1895,5735,11
"13",2,-80.283855,25.736048,1,369,2222,5
"14",2,-80.280149,25.698818,1,2329,6314,12
"15",2,-80.279103,25.693127,1,2243,394,1
"16",2,-80.286021,25.734314,1,2436,1459,3
"17",2,-80.277599,25.697822,1,546,1851,4
"18",2,-80.267715,25.7045369,1,1962,5186,10
"19",2,-80.265189,25.713087,1,3018,4097,8
"20",2,-80.256428,25.724053,1,2847,2876,6
