"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.259386,25.695812,1,1918,3205,6
"2",1,-80.264674,25.7150089,1,4964,4795,8
"3",1,-80.27137,25.722834,1,1223,2073,4
"4",1,-80.289227,25.710844,1,11660,6855,10
"5",1,-80.3093239,25.694284,1,3072,874,2
"6",1,-80.3147774,25.6739986,1,1013,214,1
"7",1,-80.316208,25.631598,1,3957,1608,3
"8",1,-80.316768,25.63667,1,3373,5543,9
"9",1,-80.3306652,25.6527699,1,2029,2688,5
"10",1,-80.3339609,25.6660407,1,3222,3943,7
