"","RouteNo","Delivery_Longitude","Delivery_Latitude","#Items","Distance","Time_Taken_to_address","RouteStopNo"
"1",1,-80.265447,25.733071,1,4101,382,1
"2",1,-80.270372,25.7327869,1,1063,1274,3
"3",1,-80.276418,25.742728,1,2330,2498,5
"4",1,-80.2934522,25.6993807,1,6154,3551,6
"5",1,-80.300837,25.713452,1,1633,1802,4
"6",1,-80.308081,25.714714,1,533,788,2
"7",2,-80.333626,25.654749,1,4345,2954,6
"8",2,-80.3310072,25.6708058,1,2067,292,1
"9",2,-80.330264,25.638641,1,2602,1465,3
"10",2,-80.327001,25.653325,1,2522,5036,9
"11",2,-80.3249999,25.6552705,1,1057,1897,4
"12",2,-80.321799,25.636502,1,4084,4404,8
"13",2,-80.3216374,25.6973921,1,1023,2368,5
"14",2,-80.3214633,25.6739117,1,1534,3534,7
"15",2,-80.31496,25.6946,1,2251,824,2
